category,name,price,company,location,link,price_numeric
industrial machinery,100 Ton Hydraulic Press Machine HP-100,"$3,800 - $4,300","Tengzhou Baixing Machinery Co., Ltd.","Tengzhou, China",https://baixingmachinery.en.alibaba.com/product/1600937463172/100_Ton_Hydraulic_Press_Machine_HP_100.html,4050.0
industrial machinery,Portable Sleeve Press Cylinder Liner Pressing Tool,$890 - $970,Shenzhen Mds Display Limited,"Shenzhen, China",https://www.alibaba.com/product-detail/Portable-Sleeve-Press-Cylinder-Liner-Pressing-Tool_1600937463172.html,930.0
industrial machinery,Automatic Paper Collating Machine,"$2,780","Zhejiang Zhenhua Machinery Co., Ltd.","Zhejiang, China",https://www.alibaba.com/product-detail/Industrial-Paper-Collating-Digital-Automatic-10_1601097590160.html,2780.0
industrial machinery,High Efficiency Napkin Tissue Paper Making Machine,"$2,780","Zhejiang Zhenhua Machinery Co., Ltd.","Zhejiang, China",https://www.alibaba.com/product-detail/Restaurant-Logo-Printing-Automatic-Napkin-Serviette-Tissue-Paper-Making-Machine-in-Italy_1601097590160.html,2780.0
industrial machinery,PF30 Corner Rounding Trimming Machine,$150 - $260,"Qingdao Phoenix Machinery Co., Ltd.","Shandong, China",https://www.alibaba.com/product-detail/PF30-Corner-Rounding-Trimming-Machine-Edge-Profile-for-Mdf-Board-Banding-Corner-Rounding-Machine-Industrial-machinery_1601097590160.html,205.0
industrial machinery,Hydraulic Bending Machine ABM-500,"$3,200 - $3,600","Shanghai Machinery Co., Ltd.","Shanghai, China",https://www.alibaba.com/product-detail/Hydraulic-Bending-Machine-ABM-500_1601097590160.html,3400.0
industrial machinery,Automatic Bottle Filling Machine,"$5,500 - $6,200","Guangzhou Top Machinery Co., Ltd.","Guangzhou, China",https://www.alibaba.com/product-detail/Automatic-Bottle-Filling-Machine-Beverage-Packaging_1601097590160.html,5850.0
industrial machinery,Industrial Sewing Machine for Leather,"$1,200 - $1,500","Suzhou Hightech Machinery Co., Ltd.","Suzhou, China",https://www.alibaba.com/product-detail/Industrial-Sewing-Machine-Leather-Fabric_1601097590160.html,1350.0
industrial machinery,CNC Milling Machine 4 Axis,"$12,500 - $15,000","Jinan CNC Equipment Co., Ltd.","Jinan, China",https://www.alibaba.com/product-detail/CNC-Milling-Machine-4-Axis_1601097590160.html,13750.0
industrial machinery,Industrial Wood Chipper Machine,"$2,200 - $2,500","Qingdao Wood Machinery Co., Ltd.","Shandong, China",https://www.alibaba.com/product-detail/Industrial-Wood-Chipper-Machine-Woodworking_1601097590160.html,2350.0
electronics,D8-Pro Smartwatch Combo,$36.75 - $93.31,"Shenzhen Smartnewo Technology Co., Ltd.","Shenzhen, China",https://www.alibaba.com/product-detail/Wearable-Devices-Smart-Electronic-Products-Nouveau-Produit-2025-Montre-Intelligente-D8-Pro-Smart-Watch-Combo-Smartwatch-Earbuds_1601097590160.html,65.03
electronics,Portable Power Bank 2600mAh,$14.72 - $16.43,"Shenzhen Hopora Electronics Co., Ltd.","Shenzhen, China",https://www.alibaba.com/product-detail/Custom-Gift-Power-Bank-2600-MAh-Portable-Power-Source-Gadgets-Electronic-for-Mobile-Phone-Power-Banks_1601097590160.html,15.575
electronics,Wireless Earbuds,$36.75 - $93.31,"Shenzhen Smartnewo Technology Co., Ltd.","Shenzhen, China",https://www.alibaba.com/product-detail/Smart-Electronic-Products-Nouveau-Produit-2025-Montre-Intelligente-D8-Pro-Smart-Watch-Combo-Smartwatch-Earbuds_1601097590160.html,65.03
electronics,500x500mm Indoor Outdoor LED Screen Stage Background,$145 - $175,"Shenzhen Uhled Technology Co., Ltd.","Shenzhen, China",https://www.alibaba.com/product-detail/500x500mm-Indoor-Outdoor-LED-Screen-Stage-Background_1600056015271.html,160.0
electronics,P3.91 P4.81 Outdoor Live Performance LED Screen,$763.39 - $818.31,Shenzhen Raybo High Quality,"Shenzhen, China",https://www.alibaba.com/product-detail/P3-91-P4-81-Outdoor-Live-Performance-LED-Screen_1600056015271.html,790.8499999999999
electronics,4K Ultra HD Projector,$295 - $340,Shenzhen Vtech Electronics,"Shenzhen, China",https://www.alibaba.com/product-detail/4K-Ultra-HD-Projector_1601097590160.html,317.5
electronics,Bluetooth Speaker Portable,$25 - $45,"Guangzhou SoundTech Co., Ltd.","Guangzhou, China",https://www.alibaba.com/product-detail/Bluetooth-Speaker-Portable_1601097590160.html,35.0
electronics,LED Strip Lights 5m,$12.50 - $15.00,"Shenzhen LED Tech Co., Ltd.","Shenzhen, China",https://www.alibaba.com/product-detail/LED-Strip-Lights-5m-Indoor-Outdoor_1601097590160.html,13.75
electronics,Smart Home WiFi Security Camera,$35 - $45,"Hangzhou SmartTech Co., Ltd.","Hangzhou, China",https://www.alibaba.com/product-detail/Smart-Home-WiFi-Security-Camera_1601097590160.html,40.0
electronics,Solar Power Bank 10000mAh,$18 - $22,"Shenzhen SunTech Co., Ltd.","Shenzhen, China",https://www.alibaba.com/product-detail/Solar-Power-Bank-10000mAh_1601097590160.html,20.0
textiles,150gsm 100% Cotton Woven and Twill Textile Fabrics Roll,$2.70 - $3.20,HUSSAIN BROTHERS & SONS CO.,"Karachi, Pakistan",https://www.alibaba.com/product-detail/150gsm-100-Cotton-Woven-and-Twill_1600888485761.html,2.95
textiles,Skygen Blue Brown Fashion Cotton Textile Fabric,$1.50 - $2.00,Skygen,"Karachi, Pakistan",https://www.alibaba.com/product-detail/Skygen-Blue-Brown-Fashion-Cotton-Textile_1600088872455.html,1.75
textiles,Bleached Muslin Fabric,$2.55 - $2.65,"Shaanxi Yalan Textile Co., Ltd.","Shaanxi, China",https://www.alibaba.com/product-detail/AT-5017-56-Width-Bleached-Muslin-Alibaba-Textile_1601097590160.html,2.5999999999999996
textiles,Cotton Linen Fabric,$0.10 - $0.20,"Shantou Mazhucity Textile Co., Ltd.","Guangdong, China",https://www.alibaba.com/product-detail/Sample-Order-Cotton-Linen-Fabric-Herringbone-Twill-Fabric-Linen-Cotton-Blend-Fabric-for-Clothing_1601097590160.html,0.15000000000000002
textiles,Satin Fabric for Dresses,$1.92 - $3.00,"Suzhou Xitong Textile Co., Ltd.","Jiangsu, China",https://www.alibaba.com/product-detail/2023-Latest-Fashion-Yellow-Flower-Elegant-Sexy-Attractive-Digital-Printed-Satin-Fabric-for-Women-Dress-and-Scarf-Making_1601097590160.html,2.46
textiles,Silk Blend Fabric,$3.00 - $5.00,"Hangzhou Silk Co., Ltd.","Hangzhou, China",https://www.alibaba.com/product-detail/Silk-Blend-Fabric_1601097590160.html,4.0
textiles,Denim Fabric Roll,$2.50 - $3.20,"Qingdao Denim Textiles Co., Ltd.","Qingdao, China",https://www.alibaba.com/product-detail/Denim-Fabric-Roll_1601097590160.html,2.85
textiles,Polyester Fabric for Apparel,$1.20 - $2.10,"Suzhou Polyester Co., Ltd.","Suzhou, China",https://www.alibaba.com/product-detail/Polyester-Fabric-for-Apparel_1601097590160.html,1.65
textiles,Wool Felt Fabric,$4.50 - $5.50,"Shanghai Wool Co., Ltd.","Shanghai, China",https://www.alibaba.com/product-detail/Wool-Felt-Fabric_1601097590160.html,5.0
industrial machinery,100 Ton Hydraulic Press Machine HP-100,"$3,800 - $4,300","Tengzhou Baixing Machinery Co., Ltd.","Tengzhou, China",https://baixingmachinery.en.alibaba.com/product/1600937463172/100_Ton_Hydraulic_Press_Machine_HP_100.html,4050.0
industrial machinery,Portable Sleeve Press Cylinder Liner Pressing Tool,$890 - $970,Shenzhen Mds Display Limited,"Shenzhen, China",https://www.alibaba.com/product-detail/Portable-Sleeve-Press-Cylinder-Liner-Pressing-Tool_1600937463172.html,930.0
industrial machinery,Automatic Paper Collating Machine,"$2,780","Zhejiang Zhenhua Machinery Co., Ltd.","Zhejiang, China",https://www.alibaba.com/product-detail/Industrial-Paper-Collating-Digital-Automatic-10_1601097590160.html,2780.0
industrial machinery,High Efficiency Napkin Tissue Paper Making Machine,"$2,780","Zhejiang Zhenhua Machinery Co., Ltd.","Zhejiang, China",https://www.alibaba.com/product-detail/Restaurant-Logo-Printing-Automatic-Napkin-Serviette-Tissue-Paper-Making-Machine-in-Italy_1601097590160.html,2780.0
